product,price,category
Base Anti-rugas Simply Ageless Covergirl & Olay 13 ml -  Natural Ivory,"R$ 217,26","
                    Beleza
                "
Base Anti-rugas Simply Ageless Covergirl & Olay 13 ml - 245 Warm Beige,"R$ 217,26","
                    Beleza
                "
Base Anti-rugas Simply Ageless Covergirl & Olay 13 ml - Creamy Beige,"R$ 217,26","
                    Beleza
                "
product,price,category
Coenzima Q10 com BioPerine Doctors Best Alta Absorção 100 mg - 120 Capsulas Veganas,"R$ 282,50","
                    Suplemento & Vitamina
                "
Hair Skin & Nails da Natures Bounty - 250 Softgels,"R$ 225,98","
                    Suplemento & Vitamina
                "
Glucosamina Doctors Best com Optimsm - 120 Capsulas,"R$ 233,83","
                    Suplemento & Vitamina
                "
Schiff Move Free Ultra Tripla Ação Glucosamina - 75 Capsulas,"R$ 347,17","
                    Suplemento & Vitamina
                "
Rexall Sundown Glucosamina Osteo Bi-Flex com Vitamina D - 220 Cápsulas,"R$ 369,97","
                    Suplemento & Vitamina
                "
Super Enzymes com Bromelaína Now Foods - 180 Tabletes,"R$ 226,73","
                    Suplemento & Vitamina
                "
Lisina L-Lysine 1000mg Puritans Pride - 250 Cápsulas,"R$ 199,55","
                    Suplemento & Vitamina
                "
Quercetina com Bromelaína Now Foods - 240 Capsulas,"R$ 304,15","
                    Suplemento & Vitamina
                "
Puritan's Pride Curcuma Turmeric 1000mg - 120 Cápsulas,"R$ 239,32","
                    Suplemento & Vitamina
                "
"Garden of Life Colágeno Cabelo, Unha e Pele Vegano - 60 Cápsulas","R$ 288,42","
                    Suplemento & Vitamina
                "
Jarrow Formulas Cúrcuma 95 Antioxidante 500 mg - 120 Capsulas Veganas,"R$ 418,72","
                    Suplemento & Vitamina
                "
Life Extension Milk Thistle com Fosfolipideo - 120 Softgels,"R$ 285,67","
                    Suplemento & Vitamina
                "
Probiótico-10 25 Billion Now Foods - 50 Capsulas,"R$ 276,50","
                    Suplemento & Vitamina
                "
Probiótico-10 50 Billion Now Foods - 50 Capsulas,"R$ 276,50","
                    Suplemento & Vitamina
                "
Methyl B12 (Methylcobalamin) 5000mcg Now Foods-120 Pastilhas,"R$ 276,50","
                    Suplemento & Vitamina
                "
Full Spectrum Mineral Now Foods - 240 Capsulas,"R$ 215,67","
                    Suplemento & Vitamina
                "
CoQ10 400mg Now Foods - 60 Softgels,"R$ 359,45","
                    Suplemento & Vitamina
                "
Complexo B Doctors Best - 30 Cápsulas Veganas,"R$ 203,94","
                    Suplemento & Vitamina
                "
Luteína com Carotenóides 20mg Doctors Best - 180 Softgels,"R$ 271,39","
                    Suplemento & Vitamina
                "
Luteína com OptiLut 20mg Doctors Best - 120 Cápsulas Veganas,"R$ 205,93","
                    Suplemento & Vitamina
                "
Multi-enzimas Proteolíticas Doctors Best - 90 Cápsulas Veganas,"R$ 231,00","
                    Suplemento & Vitamina
                "
Ubiquinolcom Kaneka QH 100mg Doctors Best - 60 Softgels,"R$ 280,36","
                    Suplemento & Vitamina
                "
Spring Valley Extrato Milk Tristle 175mg - 180 Cápsulas (2x90),"R$ 207,29","
                    Suplemento & Vitamina
                "
Life Extension AMPK Ativador Metabolico - 30 Tabletes Veganos,"R$ 278,68","
                    Suplemento & Vitamina
                "
Life Extension MacuGuard Suporte Ocular Acafrao - 60 Capsulas,"R$ 214,99","
                    Suplemento & Vitamina
                "
Colageno com Acido Hialuronico Vitaminas C  B6 B12 Zinco e Proteina para Pele Neocell - 120 Tabletes,"R$ 250,71","
                    Suplemento & Vitamina
                "
Colageno com Acido Hialuronico com Ceramida para Hidratação,"R$ 331,65","
                    Suplemento & Vitamina
                "
Puritan's Pride Milk Thistle Extract Silimarina 1000mg - 180 Softgel,"R$ 207,45","
                    Suplemento & Vitamina
                "
Puritan's Pride L-Arginine 1000mg com Aminoacido Puritans Pride-200 Capsulas,"R$ 340,65","
                    Suplemento & Vitamina
                "
Jarrow Formulas Suplemento Ácido Alfa Lipóico 300mg com Biotina - 120 Tabletes,"R$ 303,70","
                    Suplemento & Vitamina
                "
Jarrow Formulas Suplemento Vision Optimizer - 180 Cápsulas Vegetarianas,"R$ 387,02","
                    Suplemento & Vitamina
                "
Pure Encapsulations Suplemento Vitamina Complexo B - 120 Cápsulas,"R$ 432,71","
                    Suplemento & Vitamina
                "
Pure Encapsulations Suplemento Vitamina D3 5000IU 125mcg - 120 Cápsulas,"R$ 336,76","
                    Suplemento & Vitamina
                "
Pure Encapsulations Suplemento Suplementos digestivos - 90 Cápsulas,"R$ 380,09","
                    Suplemento & Vitamina
                "
NatureWise Suplemento CLA Elite 1300mg - 90 Softgels,"R$ 235,14","
                    Suplemento & Vitamina
                "
product,price,category
Baby Alive Boneca Negra Hora da Papinha Lil +3 anos - Hasbro,"R$ 230,59","
                    Brinquedo
                "
Baby Alive Boneca Loira Hora da Papinha Lil +3 anos - Hasbro,"R$ 230,59","
                    Brinquedo
                "
Baby Alive Boneca Morena Hora da Papinha Lil +3 anos -Hasbro,"R$ 230,59","
                    Brinquedo
                "
LEGO Creator 3in1 Avião Propeller 31099 - 128 peças,"R$ 210,00","
                    Brinquedo
                "
Funko POP! Rocks Kid 'N Play - Play,"R$ 229,17","
                    Brinquedo
                "
